Training_file,Testing_file,Perplexity,N
udhr-als.txt.tra,udhr-als.txt.dev,20.838347673524908,1
udhr-amc.txt.tra,udhr-amc.txt.dev,18.607433666276417,1
udhr-cha.txt.tra,udhr-bcl.txt.dev,17.064383718470243,1
udhr-blu.txt.tra,udhr-blu.txt.dev,20.551849337650207,1
udhr-bre.txt.tra,udhr-bre.txt.dev,19.462662547248687,1
udhr-ccx.txt.tra,udhr-ccx.txt.dev,19.45148076601475,1
udhr-cha.txt.tra,udhr-cha.txt.dev,17.549835685365515,1
udhr-cjk.txt.tra,udhr-cjk.txt.dev,17.192944973923883,1
udhr-cjk_AO.txt.tra,udhr-cjk_AO.txt.dev,19.37267601000737,1
udhr-deu_1996.txt.tra,udhr-deu_1901.txt.dev,19.281241043175925,1
udhr-deu_1996.txt.tra,udhr-deu_1996.txt.dev,19.281241043175925,1
udhr-eng.txt.tra,udhr-eng.txt.dev,17.946380530344744,1
udhr-hat_kreyol.txt.tra,udhr-hat_kreyol.txt.dev,19.101320411732008,1
udhr-hat_popular.txt.tra,udhr-hat_popular.txt.dev,21.970465267199852,1
udhr-hea.txt.tra,udhr-hea.txt.dev,22.409548959696675,1
udhr-hms.txt.tra,udhr-hms.txt.dev,18.12026234628987,1
udhr-hni.txt.tra,udhr-hni.txt.dev,18.10622917986229,1
udhr-ido.txt.tra,udhr-ido.txt.dev,17.756940338229562,1
udhr-kin.txt.tra,udhr-kin.txt.dev,18.96277942164004,1
udhr-koo.txt.tra,udhr-koo.txt.dev,17.451871346175064,1
udhr-yao.txt.tra,udhr-kqn.txt.dev,19.877096336098038,1
udhr-kri.txt.tra,udhr-kri.txt.dev,22.795606660859452,1
udhr-lad.txt.tra,udhr-lad.txt.dev,15.998916578482213,1
udhr-lun.txt.tra,udhr-lun.txt.dev,16.692124175136975,1
udhr-min.txt.tra,udhr-min.txt.dev,16.170590518106025,1
udhr-mly_latn.txt.tra,udhr-mly_latn.txt.dev,17.068774176713028,1
udhr-nba.txt.tra,udhr-nba.txt.dev,18.579430974495786,1
udhr-xho.txt.tra,udhr-nbl.txt.dev,20.425939823271726,1
udhr-ndo.txt.tra,udhr-ndo.txt.dev,16.835834877920238,1
udhr-nds.txt.tra,udhr-nds.txt.dev,19.269789246335147,1
udhr-njo.txt.tra,udhr-njo.txt.dev,17.565103557969724,1
udhr-nld.txt.tra,udhr-nld.txt.dev,20.63890888528444,1
udhr-nya_chinyanja.txt.tra,udhr-nya_chechewa.txt.dev,17.948962349862413,1
udhr-nya_chinyanja.txt.tra,udhr-nya_chinyanja.txt.dev,18.775710539840286,1
udhr-nyn.txt.tra,udhr-nyn.txt.dev,18.504475056356668,1
udhr-pcm.txt.tra,udhr-pcm.txt.dev,20.382010733399756,1
udhr-quy.txt.tra,udhr-quy.txt.dev,19.16560382240088,1
udhr-qvc.txt.tra,udhr-qvc.txt.dev,15.97675176051068,1
udhr-qxa.txt.tra,udhr-qxa.txt.dev,15.222420973547422,1
udhr-qxu.txt.tra,udhr-qxu.txt.dev,19.1588233201518,1
udhr-run.txt.tra,udhr-run.txt.dev,18.492591395307098,1
udhr-eng.txt.tra,udhr-sco.txt.dev,17.194663148638064,1
udhr-snk.txt.tra,udhr-snk.txt.dev,17.42939749557626,1
udhr-som.txt.tra,udhr-som.txt.dev,16.621075157862624,1
udhr-ssw.txt.tra,udhr-ssw.txt.dev,17.022518385905762,1
udhr-swh.txt.tra,udhr-swh.txt.dev,17.921835187649744,1
udhr-tiv.txt.tra,udhr-tiv.txt.dev,17.7578967423495,1
udhr-uig_latn.txt.tra,udhr-uig_latn.txt.dev,23.780699055950784,1
udhr-uzn_latn.txt.tra,udhr-uzn_latn.txt.dev,22.230416375717322,1
udhr-vmw.txt.tra,udhr-vmw.txt.dev,16.626557868252053,1
udhr-xho.txt.tra,udhr-xho.txt.dev,19.995871966701067,1
udhr-hat_kreyol.txt.tra,udhr-xsm.txt.dev,26.429398749989673,1
udhr-yao.txt.tra,udhr-yao.txt.dev,16.651717061554216,1
udhr-ztu.txt.tra,udhr-ztu.txt.dev,18.94952923270729,1
udhr-zul.txt.tra,udhr-zul.txt.dev,20.62908909060501,1
